"Table with row headers in column A and column headers in rows 5 and 6, and 60 and 61",,,,,,,,,,,,
State,2015,2014,2013,2013,2012,2011,2010,2009,2008,2007,2006,2005
United States,"56,516","53,657","53,585","51,939","51,017","50,054","49,276","49,777","50,303","50,233","48,201","46,326"
Alabama,"44,509","42,278","47,320","41,381","43,464","42,590","40,933","39,980","44,476","42,212","37,952","37,150"
Alaska,"75,112","67,629","72,472","61,137","63,648","57,431","57,848","61,604","63,989","62,993","56,418","55,891"
Arizona,"52,248","49,254","52,611","50,602","47,044","48,621","46,896","45,739","46,914","47,215","46,657","45,245"
Arkansas,"42,798","44,922","39,376","39,919","39,018","41,302","38,587","36,538","39,586","40,795","37,057","36,658"
California,"63,636","60,487","60,794","57,528","57,020","53,367","54,283","56,134","57,014","55,734","55,319","51,755"
Colorado,"66,596","60,940","67,912","63,371","57,255","58,629","60,233","55,930","60,943","61,141","55,697","50,449"
Connecticut,"72,889","70,161","69,291","67,781","64,247","65,415","65,998","64,851","64,682","64,141","62,404","56,835"
Delaware,"57,756","57,522","54,091","52,219","48,972","54,660","55,214","52,114","50,702","54,589","52,438","51,235"
D.C.,"70,071","68,277","60,057","60,675","65,246","55,251","56,928","53,141","55,590","50,783","48,477","44,993"
Florida,"48,825","46,140","48,532","47,886","46,071","45,105","44,066","45,631","44,857","45,794","45,676","42,990"
Georgia,"50,768","49,555","46,992","47,439","48,121","45,973","44,117","43,340","46,227","48,641","49,344","45,926"
Hawaii,"64,514","71,223","64,235","61,408","56,263","59,047","59,539","55,649","61,521","64,022","60,470","59,586"
Idaho,"51,624","53,438","48,467","51,767","47,922","47,459","47,050","46,778","47,420","49,184","46,213","44,176"
Illinois,"60,413","54,916","53,937","57,196","51,738","50,637","50,728","52,870","53,254","52,506","48,671","48,398"
Indiana,"51,983","48,060","49,455","50,553","46,158","44,445","46,139","44,305","46,520","47,453","45,407","42,437"
Iowa,"60,855","57,810","60,156","54,855","53,442","50,219","49,016","50,721","50,142","48,908","48,126","46,500"
Kansas,"54,865","53,444","47,820","51,485","50,003","46,147","46,054","44,717","47,877","48,497","45,552","42,027"
Kentucky,"42,387","42,786","44,879","42,158","41,086","39,856","41,104","42,664","41,148","39,452","39,485","36,699"
Louisiana,"45,922","42,406","46,425","39,622","39,085","40,658","39,300","45,433","39,563","41,313","36,488","37,236"
Maine,"50,756","51,710","54,957","50,121","49,158","49,693","47,931","47,502","47,228","47,894","45,642","43,923"
Maryland,"73,594","76,165","69,353","65,262","71,836","68,876","64,201","64,186","63,711","65,630","63,668","60,512"
Massachusetts,"67,861","63,151","62,529","62,963","63,656","63,313","60,934","59,373","60,320","58,463","55,330","56,017"
Michigan,"54,203","52,005","56,567","48,801","50,015","48,879","46,276","45,994","49,788","49,370","48,647","45,933"
Minnesota,"68,730","67,244","64,324","60,907","61,795","57,820","52,321","56,090","54,925","58,058","56,211","54,215"
Mississippi,"40,037","35,521","32,338","40,850","36,641","41,090","38,160","35,078","36,446","37,279","34,733","32,875"
Missouri,"59,196","56,630","46,303","50,311","49,764","45,774","45,817","48,769","46,038","46,005","44,579","42,986"
Montana,"51,395","51,102","43,201","44,132","45,088","40,277","41,280","40,437","42,900","43,655","41,105","37,313"
Nebraska,"60,474","56,870","57,623","53,774","52,196","55,616","52,504","49,595","50,728","49,174","48,145","47,923"
Nevada,"52,008","49,875","51,846","45,369","47,333","47,043","51,200","51,434","54,744","54,058","52,282","48,209"
New Hampshire,"75,675","73,397","69,099","71,322","67,819","65,880","66,633","64,131","66,176","67,576","61,970","56,984"
New Jersey,"68,357","65,243","63,754","61,782","66,692","62,338","62,968","64,777","65,306","60,508","68,059","63,368"
New Mexico,"45,119","46,686","40,166","42,127","43,424","41,982","45,134","43,542","42,102","44,356","40,028","38,947"
New York,"58,005","54,310","49,966","53,843","47,680","50,636","49,781","50,216","50,461","48,944","48,222","47,176"
North Carolina,"50,797","46,784","46,337","41,208","41,553","45,206","43,830","41,906","42,930","43,513","39,797","42,056"
North Dakota,"57,415","60,730","59,152","52,888","55,766","56,361","51,006","50,075","49,631","47,205","41,047","42,192"
Ohio,"53,301","49,644","50,748","46,398","44,375","44,648","45,886","45,879","46,934","49,099","45,900","44,203"
Oklahoma,"47,077","47,199","46,162","43,777","48,407","48,455","43,103","45,878","46,111","43,216","38,838","37,645"
Oregon,"60,834","58,875","48,999","56,307","51,775","51,526","50,602","49,098","51,727","50,236","47,091","44,159"
Pennsylvania,"60,389","55,173","55,156","53,952","51,904","49,910","48,314","48,172","51,402","48,437","48,477","46,300"
Rhode Island,"55,701","58,633","56,323","57,812","56,065","49,033","51,623","51,634","53,241","54,210","53,736","49,484"
South Carolina,"46,360","44,929","43,563","43,749","44,401","40,084","41,698","41,101","42,155","44,213","39,617","40,230"
South Dakota,"55,065","53,053","53,413","54,453","49,415","47,223","45,352","45,826","51,600","46,418","45,427","43,151"
Tennessee,"47,330","43,716","43,361","42,499","42,995","42,279","38,591","40,517","39,702","41,195","40,693","39,406"
Texas,"56,473","53,875","51,406","53,027","51,926","49,047","47,266","47,475","46,490","46,053","43,307","41,422"
Utah,"66,258","63,383","61,047","62,967","58,341","55,493","56,701","58,491","62,537","53,529","54,628","54,813"
Vermont,"59,494","60,708","65,513","54,842","55,582","51,862","55,928","52,318","50,706","47,390","51,981","50,704"
Virginia,"61,486","66,155","65,907","67,620","64,632","62,616","60,367","60,501","61,985","59,161","57,119","51,914"
Washington,"67,243","59,068","63,922","60,106","62,187","56,850","56,163","60,392","56,631","58,080","54,723","50,646"
West Virginia,"42,824","39,552","43,069","40,241","43,553","41,821","42,777","40,490","37,994","42,091","38,419","36,445"
Wisconsin,"55,425","58,080","51,726","55,258","53,079","52,058","50,351","51,237","51,200","51,277","51,692","44,650"
Wyoming,"60,925","55,690","67,441","55,700","57,512","54,509","52,201","52,470","53,337","48,744","47,041","44,718"